name,url
Flavour Of Southvala Pvt Ltd,https://swiggy.com/restaurants/flavour-of-southvala-pvt-ltd-padam-singh-road-karol-bagh-delhi-177752
Grover Mithaivala (Rajinder Nagar),https://swiggy.com/restaurants/grover-mithaivala-rajinder-nagar-karol-bagh-delhi-391413
Amma Mess,https://swiggy.com/restaurants/amma-mess-karol-bagh-delhi-81523
Ichiban,https://swiggy.com/restaurants/ichiban-market-pandara-road-delhi-14595
Annakoot by ISKCON Bangalore,https://swiggy.com/restaurants/annakoot-by-iskcon-bangalore-connaught-place-mandi-house-delhi-324401
Great Indian Khichdi by EatFit,https://swiggy.com/restaurants/great-indian-khichdi-by-eatfit-chuna-mandi-paharganj-gole-market-delhi-258198
Naivedyam,https://swiggy.com/restaurants/naivedyam-connaught-place-delhi-335116
Minar Restaurant,https://swiggy.com/restaurants/minar-restaurant-connaught-place-delhi-8907
Bijoli Grill,https://swiggy.com/restaurants/bijoli-grill-banga-bhawan-mandi-house-delhi-15692
Royal restaurant,https://swiggy.com/restaurants/royal-restaurant-cp-barakhamba-delhi-9830
Chai Point,https://swiggy.com/restaurants/chai-point-connaught-place-delhi-218676
Andhra Canteen,https://swiggy.com/restaurants/andhra-canteen-khan-market-connaught-place-delhi-466732
Baskin Robbins,https://swiggy.com/restaurants/baskin-robbins-l-12-connaught-place-delhi-438612
Mughlai Junction,https://swiggy.com/restaurants/mughlai-junction-connaught-place-delhi-8561
Sandoz ,https://swiggy.com/restaurants/sandoz-connaught-place-delhi-292513
Burger Singh (Big Punjabi Burgers),https://swiggy.com/restaurants/burger-singh-big-punjabi-burgers-outer-circle-connaught-place-delhi-8628
Chaayos Chai+Snacks=Relax,https://swiggy.com/restaurants/chaayos-chai-snacks-relax-chaayos-c-p-f-block-connaught-place-delhi-90566
Taco Bell,https://swiggy.com/restaurants/taco-bell-connaught-circus-outer-circle-connaught-place-delhi-169244
Creme N Crisp,https://swiggy.com/restaurants/creme-n-crisp-gole-market-delhi-15607
Biryani By Kilo,https://swiggy.com/restaurants/biryani-by-kilo-n-block-connaught-place-delhi-51510
Hira Sweets,https://swiggy.com/restaurants/hira-sweets-connaught-place-delhi-60643
Bercos - If you love chinese,https://swiggy.com/restaurants/bercos-if-you-love-chinese-middle-circle-connaught-place-delhi-8564
Biryani Blues,https://swiggy.com/restaurants/biryani-blues-scindia-house-connaught-place-delhi-8620
Momos House,https://swiggy.com/restaurants/momos-house-gautam-nagar-delhi-58205
Vermaji Parathe Wale,https://swiggy.com/restaurants/vermaji-parathe-wale-gautam-nagar-yusuf-sarai-delhi-181735
Breakfast Point,https://swiggy.com/restaurants/breakfast-point-bhagat-singh-road-krishna-nagar-delhi-26405
Chinese Daily,https://swiggy.com/restaurants/chinese-daily-kirti-nagar-kirti-nagar-industrial-area-kirti-nagar-delhi-344023
Doner & Gyros,https://swiggy.com/restaurants/doner-and-gyros-gtb-nagar-delhi-405175
Tikka Fatory,https://swiggy.com/restaurants/tikka-fatory-laxmi-nagar-delhi-502553
Waffle Nation,https://swiggy.com/restaurants/waffle-nation-gtb-nagar-vijay-nagar-delhi-46856
Super Snacks ,https://swiggy.com/restaurants/super-snacks-laxmi-nagar-ghondi-chowk-delhi-330179
Radhe Krishna Chole Bhature,https://swiggy.com/restaurants/radhe-krishna-chole-bhature-geeta-colony-krishna-nagar-delhi-233840
Sialkot Vegetarian(Pyare Lal),https://swiggy.com/restaurants/sialkot-vegetarian-pyare-lal-geeta-colony-delhi-58107
Bite N Sip,https://swiggy.com/restaurants/bite-n-sip-bhikaji-cama-rama-krishna-puram-delhi-121754
Fitchef,https://swiggy.com/restaurants/fitchef-mangal-bazaar-updated-delhi-71430
Vip RDX Resto & Bar,https://swiggy.com/restaurants/vip-rdx-resto-and-bar-hauz-khas-safdarjung-enclave-delhi-231505
JAIN DHABA,https://swiggy.com/restaurants/jain-dhaba-laxmi-nagar-shahdara-delhi-351751
Wicked Waffles,https://swiggy.com/restaurants/wicked-waffles-preet-vihar-delhi-49888
Gupta's Restaurant,https://swiggy.com/restaurants/guptas-restaurant-south-extension-2-south-extension-ii-delhi-52521
Pasta Unplugged,https://swiggy.com/restaurants/pasta-unplugged-lajpat-nagar-delhi-403828
Chinese Hawker,https://swiggy.com/restaurants/chinese-hawker-mayur-vihar-patparganj-delhi-290202
Arabian Delites,https://swiggy.com/restaurants/arabian-delites-defence-colony-delhi-4705
Qureshi's Kabab Corner,https://swiggy.com/restaurants/qureshis-kabab-corner-defence-colony-lajpat-nagar-delhi-26779
NYC.PIE ,https://swiggy.com/restaurants/nyc-pie-new-lajpat-nagar-delhi-328586
Biryani Hazir ho,https://swiggy.com/restaurants/biryani-hazir-ho-south-extension-delhi-451885
Shivani Food House,https://swiggy.com/restaurants/shivani-food-house-kotla-mubarakpur-delhi-477069
NAGPAL HAVELI BLD,https://swiggy.com/restaurants/nagpal-haveli-bld-lajpat-nagar-delhi-448620
7th Heaven,https://swiggy.com/restaurants/7th-heaven-mayur-vihar-delhi-418253
Firangi Bake,https://swiggy.com/restaurants/firangi-bake-kotla-mubarak-pur-south-extension-i-delhi-45893
Sweet Truth - Cake and Desserts,https://swiggy.com/restaurants/sweet-truth-cake-and-desserts-kotla-mubarak-pur-south-extension-i-delhi-45894
Amici Cafe,https://swiggy.com/restaurants/amici-cafe-south-extension-defence-colony-delhi-39492
28 Capri Italy,https://swiggy.com/restaurants/28-capri-italy-lajpat-nagar-defence-colony-delhi-6283
Love & Cheesecake,https://swiggy.com/restaurants/love-and-cheesecake-south-extension-defence-colony-delhi-496117
Maddi sweet center,https://swiggy.com/restaurants/maddi-sweet-center-hauz-khas-south-extenison-delhi-467279
Mehta Food Junction,https://swiggy.com/restaurants/mehta-food-junction-laxmi-nagar-shakarpur-khas-delhi-55106
Beliram Degchiwala (Jangpura),https://swiggy.com/restaurants/beliram-degchiwala-jangpura-jangpura-jungpura-extension-delhi-15330
Urban Vada Pav,https://swiggy.com/restaurants/urban-vada-pav-laxmi-nagar-shakarpur-khas-delhi-322460
Fujiya,https://swiggy.com/restaurants/fujiya-malcha-marg-chanakyapuri-delhi-52518
LunchBox - Meals and Thalis,https://swiggy.com/restaurants/lunchbox-meals-and-thalis-rajdner-place-rajendra-place-delhi-79321
Qd's,https://swiggy.com/restaurants/qds-karol-bagh-krishna-nagar-karol-bagh-delhi-158180
South Indian Cafe,https://swiggy.com/restaurants/south-indian-cafe-rajinder-nagar-new-rajinder-nagar-delhi-46869
Aunty's Paranthe,https://swiggy.com/restaurants/auntys-paranthe-karol-bagh-delhi-112346
Nagpal Chole Bhature,https://swiggy.com/restaurants/nagpal-chole-bhature-karol-bagh-delhi-444609
New Tera Hotel,https://swiggy.com/restaurants/new-tera-hotel-ghaffar-market-arya-samaj-road-karol-bagh-delhi-25686
Changezi Chicken (Daryaganj),https://swiggy.com/restaurants/changezi-chicken-daryaganj-daryaganj-delhi-46599
Roshan Di Kulfi,https://swiggy.com/restaurants/roshan-di-kulfi-karol-bagh-beadonpura-karol-bagh-delhi-9917
Zaika (Daryaganj),https://swiggy.com/restaurants/zaika-daryaganj-daryaganj-delhi-41739
Havemore Restaurant ,https://swiggy.com/restaurants/havemore-restaurant-khan-market-india-gate-delhi-8406
Bikanervala Chandni Chowk,https://swiggy.com/restaurants/bikanervala-chandni-chowk-old-delhi-delhi-395433
Akash Deep,https://swiggy.com/restaurants/akash-deep-daryaganj-delhi-54774
Bangla sweet n spice,https://swiggy.com/restaurants/bangla-sweet-n-spice-connaught-place-gole-market-delhi-143021
Nathu's PastryShop,https://swiggy.com/restaurants/nathus-pastryshop-bengali-market-mandi-house-delhi-40802
Odeon Sweets,https://swiggy.com/restaurants/odeon-sweets-gole-market-connaught-place-delhi-24246
Nizam's Kathi Kabab,https://swiggy.com/restaurants/nizams-kathi-kabab-connaught-place-delhi-55833
Cafe Delhi Heights,https://swiggy.com/restaurants/cafe-delhi-heights-cannaught-place-connaught-place-delhi-66837
Bangla Foods,https://swiggy.com/restaurants/bangla-foods-gole-market-delhi-22917
Nando's,https://swiggy.com/restaurants/nandos-opp-rajiv-chowk-metro-station-connaught-place-delhi-17463
Domino's Pizza,https://swiggy.com/restaurants/dominos-pizza-connaught-circle-connaught-place-delhi-24207
Cafe Delhi Heights,https://swiggy.com/restaurants/cafe-delhi-heights-cannaught-place-connaught-place-delhi-66837
Bangla Foods,https://swiggy.com/restaurants/bangla-foods-gole-market-delhi-22917
Nando's,https://swiggy.com/restaurants/nandos-opp-rajiv-chowk-metro-station-connaught-place-delhi-17463
Domino's Pizza,https://swiggy.com/restaurants/dominos-pizza-connaught-circle-connaught-place-delhi-24207
Pind Balluchi (CP),https://swiggy.com/restaurants/pind-balluchi-cp-hanuman-road-area-connaught-place-delhi-12716
Sita Ram Diwan Chand,https://swiggy.com/restaurants/sita-ram-diwan-chand-chuna-mandi-paharganj-delhi-29776
Maalgaadi by Dhaba Estd 1986 Delhi,https://swiggy.com/restaurants/maalgaadi-by-dhaba-estd-1986-delhi-connaught-place-delhi-305529
MOMO SHOMO,https://swiggy.com/restaurants/momo-shomo-gtb-nagar-hudson-lane-delhi-372570
Think Asia by Hudson Chopsticks,https://swiggy.com/restaurants/think-asia-by-hudson-chopsticks-gtb-nagar-mukherjee-nagar-delhi-143728
Hudson Chopsticks,https://swiggy.com/restaurants/hudson-chopsticks-gate-no-3-gtb-metro-gtb-nagar-delhi-20019
MBA CHAI WALA,https://swiggy.com/restaurants/mba-chai-wala-lajpat-nagar-delhi-558508
Food of Dreams,https://swiggy.com/restaurants/food-of-dreams-ashok-vihar-delhi-346575
The Village cafe,https://swiggy.com/restaurants/the-village-cafe-chander-nagar-krishna-nagar-delhi-34941
Burgrill - The Win Win Burger,https://swiggy.com/restaurants/burgrill-the-win-win-burger-gtb-nagar-hudson-lane-delhi-206300
High On Burgers,https://swiggy.com/restaurants/high-on-burgers-satyaniketan-moti-bagh-delhi-3945
Cafeteria & Co.,https://swiggy.com/restaurants/cafeteria-and-co-south-campus-south-moti-bagh-delhi-20631
Punjabi Angithi,https://swiggy.com/restaurants/punjabi-angithi-ashok-vihar-delhi-326429
PASRICHA'S DOSA JUNCTION,https://swiggy.com/restaurants/pasrichas-dosa-junction-ina-market-ina-colony-delhi-20156
